Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes	UBC degree	UBC degree / forest size
prizes_beta0.25_mu0.015_omega10.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega2.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega2.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega3.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega3.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega4.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega4.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega5.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega5.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega6.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega6.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega7.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega7.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega8.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega8.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega9.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.015_omega9.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega0.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega1.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega1.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega10.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega2.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega2.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega3.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega3.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
